Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
03191,03390,MURAT,2025.0,03,83
59436,59670,NOORDPEENE,1729.0,59,31
70512,70320,LA VAIVRE,308.0,70,43
54598,54490,XIVRY-CIRCOURT,1238.0,54,41
05174,05100,VAL-DES-PRES,4470.0,05,93
56120,56390,LOCQUELTAS,1949.0,56,53
77323,77230,MOUSSY-LE-VIEUX,720.0,77,11
84098,84110,ROAIX,586.0,84,93
65443,65350,THUY,54.0,65,73
39329,39250,MIEGES,329.0,39,43
40321,40320,URGONS,1156.0,40,72
63206,63410,MANZAT,3905.0,63,83
82122,82110,MONTBARLA,739.0,82,73
67051,67650,BLIENSCHWILLER,310.0,67,42
76510,76560,PRETOT-VICQUEMARE,477.0,76,23
63242,63340,MORIAT,1089.0,63,83
43027,43160,BERBEZIT,1051.0,43,83
58061,58350,CHASNAY,1180.0,58,26
83089,83470,OLLIERES,3994.0,83,93
67086,67150,DAUBENSAND,406.0,67,42
80796,80140,VILLEROY,605.0,80,22
49035,49080,BOUCHEMAINE,2053.0,49,52
14306,14810,GONNEVILLE-EN-AUGE,441.0,14,25
78172,78700,CONFLANS-SAINTE-HONORINE,990.0,78,11
71392,71390,SAINT-BOIL,1174.0,71,26
30239,30110,SAINTE-CECILE-D'ANDORGE,1905.0,30,91
27345,27410,LA HOUSSAYE,432.0,27,23
39043,39190,BEAUFORT,1319.0,39,43
45030,45340,BEAUNE-LA-ROLANDE,2053.0,45,24
26290,26420,SAINT-AGNAN-EN-VERCORS,8401.0,26,82
55377,55700,NEPVANT,511.0,55,41
76550,76113,SAHURS,1111.0,76,23
46107,46700,FLORESSAS,1383.0,46,73
02303,02100,FAYET,591.0,02,22
30303,30500,SAINT-VICTOR-DE-MALCAP,1105.0,30,91
65028,65670,ARNE,834.0,65,73
32302,32260,ORNEZAN,1219.0,32,73
70490,70240,SERVIGNEY,578.0,70,43
01142,01120,DAGNEUX,683.0,01,82
